id,name_zh,name_en,index_year,cluster,dynasty_zh,bureau_type,bureau_zh,is_high_official,has_civil_exam,has_yin_privilege,has_recommendation,has_technical_exam,has_geo,x_coord,y_coord,addr_name_chn,bureau_astronomical,bureau_medical,bureau_hydraulic,bureau_military_industrial,bureau_construction,degree,clustering,eigenvector,betweenness,degree_z,clustering_z,eigenvector_z,betweenness_z,x_coord_z,y_coord_z
3,安燾,An Tao,1065,cluster1_song_and_before,宋,military_industrial,军器/制造,1,1,0,0,0,1,114.34333,34.785477,開封,0,0,0,1,0,2,0.0,0.004265066383703475,5.232154524665142e-05,0.45684964587212995,-0.17812319241819308,0.029911052534489082,0.06441092412353154,-0.3918899761925293,0.8423193593235898
4,查道,Zha Dao,955,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,120.558662,32.384022,如皋,0,0,0,0,0,5,0.2,0.005108572901288774,0.00027459836566181493,1.5586846579243614,1.367248988127309,0.07762565713699458,0.796626162858863,0.9963451959203228,0.1667979309351339
10,晁謙之,Chao Qianzhi,1091,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,117.776588,28.208446,鉛山,0,0,0,0,0,0,0.0,1.3975995756472907e-33,0.0,-0.2777070288293577,-0.17812319241819308,-0.21135081309332437,-0.107944576878429,0.37495071880780795,-1.0077779257286632
13,晁補之,Chao Buzhi,1049,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,116.08870697,35.396209717,鉅野,0,0,0,0,0,17,0.0661764705882353,0.09911607645690022,0.0016335920391283125,5.966024706133287,0.3332131908505392,5.395344925821878,5.27336771062123,-0.0020485810185032144,1.0141164728865761
15,陳安期,Chen Anqi,1020,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,112.785721,34.840869,河陽,0,0,0,0,0,4,0.8333333333333334,0.002107693015993836,0.0,1.1914063205736174,6.260927559854733,-0.09212501366559403,-0.107944576878429,-0.7397921635896829,0.8579009475529307
16,陳安民,Chen Anmin,1027,cluster1_song_and_before,宋,hydraulic,水利/河道,0,1,1,0,0,1,112.785721,34.840869,河陽,0,0,1,0,0,1,0.0,0.00010957515284634163,0.0,0.0895713085213861,-0.17812319241819308,-0.20515247913463794,-0.107944576878429,-0.7397921635896829,0.8579009475529307
18,陳安道,Chen Andao,1020,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,112.785721,34.840869,河陽,0,0,0,0,0,5,0.5,0.0059598441600470405,7.29214605056407e-05,1.5586846579243614,3.685307258945562,0.12577948959036428,0.13227032503234284,-0.7397921635896829,0.8579009475529307
22,陳求道,Chen Qiudao,1067,cluster1_song_and_before,宋,hydraulic,水利/河道,0,1,0,0,0,1,114.271622,29.892479,咸寧,0,0,1,0,0,0,0.0,1.3975995756472907e-33,0.0,-0.2777070288293577,-0.17812319241819308,-0.21135081309332437,-0.107944576878429,-0.4079064283662619,-0.5340649568771547
25,陳洎,Chen Ji,986,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,117.187683,34.269634,彭城,0,0,0,0,0,2,0.0,0.008695393046947707,0.0003866689807252532,0.45684964587212995,-0.17812319241819308,0.280521190796117,1.165804613453133,0.24341492409352491,0.6972144124542192
28,陳絳,Chen Jiang,970,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,119.011101,25.433954,莆田,0,0,0,0,0,0,0.0,1.3975995756472907e-33,0.0,-0.2777070288293577,-0.17812319241819308,-0.21135081309332437,-0.107944576878429,0.6506872952337401,-1.788233440777808
33,陳知儉,Chen Zhijian,1035,cluster1_song_and_before,宋,hydraulic,水利/河道,0,0,1,0,0,1,113.641312,34.758076,管城,0,0,1,0,0,3,0.0,0.002824293957244123,0.0010150237205963479,0.8241279832228736,-0.17812319241819308,-0.051589072500109155,3.2357051771099443,-0.5486903014295904,0.8346115477429978
34,陳執中,Chen Zhizhong,990,cluster1_song_and_before,宋,works_general,工部,1,0,1,0,0,1,114.34333,34.785477,開封,0,0,0,0,0,4,0.0,0.018672351763112223,0.00042399200804138764,1.1914063205736174,-0.17812319241819308,0.8448874764770937,1.2887526082353384,-0.3918899761925293,0.8423193593235898
36,陳之淵,Chen Zhiyuan,1102,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,120.297668,31.574614,無錫,0,0,0,0,0,0,0.0,1.3975995756472907e-33,0.0,-0.2777070288293577,-0.17812319241819308,-0.21135081309332437,-0.107944576878429,0.938050474011595,-0.06088588921100437
37,陳靖,Chen Jing (5),940,cluster1_song_and_before,宋,works_general,工部,0,0,0,1,0,1,119.011101,25.433954,莆田,0,0,0,0,0,2,1.0,0.0005729392781419383,0.0,0.45684964587212995,7.548737710309318,-0.1789413763576764,-0.107944576878429,0.6506872952337401,-1.788233440777808
